属性,关系,对方属性,倍率
草,受到提升,冰,2
草,受到提升,毒,2
草,受到提升,虫,2
草,受到提升,翼,2
草,受到降低,水,0.5
草,受到降低,地,0.5
草,受到降低,电,0.5
草,受到降低,光,0.5
萌,造成提升,龙,2
萌,造成提升,武,2
萌,造成提升,恶,2
萌,造成降低,火,0.5
萌,造成降低,毒,0.5
萌,造成降低,机械,0.5
萌,受到提升,毒,2
萌,受到提升,恶,2
萌,受到提升,机械,2
萌,受到降低,虫,0.5
萌,受到降低,武,0.5
虫,造成提升,草,2
虫,造成提升,恶,2
虫,造成提升,幻,2
虫,造成降低,火,0.5
虫,造成降低,毒,0.5
虫,造成降低,武,0.5
虫,造成降低,翼,0.5
虫,造成降低,萌,0.5
虫,造成降低,幽,0.5
虫,造成降低,机械,0.5
虫,受到提升,火,2
虫,受到提升,翼,2
虫,受到降低,草,0.5
虫,受到降低,武,0.5
龙,造成提升,龙,2
龙,造成降低,机械,0.5
龙,受到提升,冰,2
龙,受到提升,龙,2
龙,受到提升,萌,2
龙,受到降低,草,0.5
龙,受到降低,火,0.5
龙,受到降低,水,0.5
龙,受到降低,电,0.5
龙,受到降低,翼,0.5
