id,spirit_id,蛋组,编号,精灵名称
183,385,巨灵组,259,迷你乌（极昼的样子）
184,386,巨灵组,260,乌拉塔（极夜的样子）
185,387,巨灵组,260,乌拉塔（极昼的样子）
186,399,巨灵组,272,噼啪鸟
187,400,巨灵组,273,深蓝鲸
188,415,巨灵组,285,圣剑侍从
189,416,巨灵组,286,圣剑-X
190,420,巨灵组,289,大头骨龙
191,421,巨灵组,290,寂灭骨龙
192,430,巨灵组,299,画精灵
193,431,巨灵组,300,画像守护
194,432,巨灵组,301,画间法师手
195,433,巨灵组,302,画间沉铁兽
196,434,巨灵组,303,书魔虫
197,435,巨灵组,304,书卷守护
198,436,巨灵组,305,古卷执政官
199,437,巨灵组,306,古卷匣魔像
200,453,巨灵组,322,月牙雪熊
201,458,巨灵组,327,空空颅
202,459,巨灵组,328,夜宿颅
203,460,巨灵组,329,夜枭
204,476,巨灵组,345,幽星光
205,477,巨灵组,346,曜星光
206,478,巨灵组,347,暮星辰
207,7,魔力组,005,火花
208,8,魔力组,006,焰火
209,9,魔力组,007,火神
210,11,魔力组,008,水蓝蓝
211,12,魔力组,009,波波拉
212,14,魔力组,010,水灵
213,44,魔力组,021,小灵菇
214,45,魔力组,022,幻灵菇
215,46,魔力组,023,幻影灵菇
216,102,魔力组,054,小灵面
217,103,魔力组,055,暗影灵面（睁眼的样子）
218,104,魔力组,055,暗影灵面（闭眼的样子）
219,105,魔力组,056,幽冥眼（睁眼的样子）
220,106,魔力组,056,幽冥眼（闭眼的样子）
221,107,魔力组,057,梦游（穿旧睡衣的样子）
222,109,魔力组,058,梦悠悠（穿旧睡衣的样子）
223,181,魔力组,111,石石
224,182,魔力组,112,巨灵石
225,311,魔力组,207,闪电环
226,312,魔力组,208,刺电环
227,313,魔力组,209,荆棘电环
228,346,魔力组,234,脆筒甜甜
229,349,魔力组,235,香草甜甜
230,348,魔力组,235,香草甜甜（杨桃饰品）
231,349,魔力组,235,香草甜甜（蓝莓饰品）
232,358,魔力组,236,圣代甜甜
233,351,魔力组,236,圣代甜甜（杨桃巧克力口味）
234,352,魔力组,236,圣代甜甜（杨桃抹茶口味）
235,353,魔力组,236,圣代甜甜（杨桃草莓口味）
236,354,魔力组,236,圣代甜甜（樱桃抹茶口味）
237,355,魔力组,236,圣代甜甜（樱桃草莓口味）
238,356,魔力组,236,圣代甜甜（蓝莓巧克力口味）
239,357,魔力组,236,圣代甜甜（蓝莓抹茶口味）
240,358,魔力组,236,圣代甜甜（蓝莓草莓口味）
241,444,魔力组,313,果冻
242,445,魔力组,314,抹茶布丁
243,458,魔力组,327,空空颅
244,459,魔力组,328,夜宿颅
245,460,魔力组,329,夜枭
246,,天空组,011,鸭吉吉（急急鸭）
247,16,天空组,011,鸭吉吉（燃了鸭）
248,17,天空组,011,鸭吉吉（等一等鸭）
249,18,天空组,011,鸭吉吉（紧实的样子）
250,19,天空组,011,鸭吉吉（蓬松的样子）
251,20,天空组,011,鸭吉吉（起来鸭）
252,31,天空组,018,雪绒鸟（夏天的样子）
253,32,天空组,018,雪绒鸟（春天的样子）
254,33,天空组,018,雪绒鸟（本来的样子）
255,34,天空组,018,雪绒鸟（秋天的样子）
256,35,天空组,019,冬羽雀（夏天的样子）
257,36,天空组,019,冬羽雀（春天的样子）
258,37,天空组,019,冬羽雀（本来的样子）
259,38,天空组,019,冬羽雀（秋天的样子）
260,39,天空组,020,岚鸟（夏天的样子）
261,40,天空组,020,岚鸟（春天的样子）
262,41,天空组,020,岚鸟（本来的样子）
263,42,天空组,020,岚鸟（秋天的样子）
264,131,天空组,069,蒲公英
265,132,天空组,070,蒲公英娃娃
266,150,天空组,082,一窝蜂
267,151,天空组,083,黄蜂后
268,153,天空组,084,花魁蜂后
269,157,天空组,088,乖乖鹄
270,158,天空组,089,蓝珠天鹅
271,159,天空组,090,翠顶夫人
272,160,天空组,091,黑羽夫人
273,161,天空组,092,锤头鹳
274,165,天空组,096,咔咔羽毛
275,166,天空组,097,咔咔雀
276,167,天空组,098,咔咔鸟
277,171,天空组,102,绿翼鸟
278,172,天空组,103,魔翼鸟
279,173,天空组,104,魔眷鸟
280,177,天空组,108,风铃鲨
281,178,天空组,109,蓝蝶鲨
282,179,天空组,110,彩蝶鲨
283,209,天空组,132,小电企鹅
284,210,天空组,133,电企鹅
285,250,天空组,162,公平鸽
286,255,天空组,165,小狮鹫（崖间地的样子）
287,256,天空组,165,小狮鹫（高山地的样子）
288,257,天空组,166,神圣狮鹫（崖间地的样子）
289,258,天空组,166,神圣狮鹫（高山地的样子）
290,259,天空组,167,皇家狮鹫（崖间地的样子）
291,260,天空组,167,皇家狮鹫（高山地的样子）
292,273,天空组,177,斑斑
293,274,天空组,178,斑枭
294,275,天空组,179,草头鸭
295,276,天空组,180,卷毛鸭
296,335,天空组,224,小翼龙
297,336,天空组,225,翼龙
298,343,天空组,231,小鹬
299,344,天空组,232,鄙目鹬
300,345,天空组,233,高脚鹬
301,388,天空组,261,螺旋帕帕
302,389,天空组,262,帕帕斯卡
303,393,天空组,266,可立鸡
304,394,天空组,267,晕晕鸡
305,395,天空组,268,绅士鸡
306,396,天空组,269,武者鸡
307,399,天空组,272,噼啪鸟
308,413,天空组,283,小甲虫
309,414,天空组,284,铠甲虫
310,418,天空组,287,吸泥鸥
311,419,天空组,288,泥吼牙
312,422,天空组,291,厉毒小萝
313,423,天空组,292,厉毒修萝
314,466,天空组,335,粉星仔
315,467,天空组,336,粉耳星兔
316,468,天空组,337,落陨星兔
317,22,两栖组,012,板板壳（本来的样子）
318,23,两栖组,012,板板壳（蜕皮时的样子）
319,24,两栖组,013,咔咔壳（本来的样子）
320,25,两栖组,013,咔咔壳（蜕皮时的样子）
321,26,两栖组,014,水泡壳（本来的样子）
322,27,两栖组,014,水泡壳（蜕皮时的样子）
323,47,两栖组,024,石肤蜥（本来的样子）
324,48,两栖组,024,石肤蜥（球球尾巴的样子）
325,49,两栖组,025,石刺蜥（本来的样子）
326,50,两栖组,025,石刺蜥（球球尾巴的样子）
327,51,两栖组,026,石冠王蜥（本来的样子）
328,52,两栖组,026,石冠王蜥（球球尾巴的样子）
329,67,两栖组,036,小鼠獭
330,68,两栖组,037,燕尾獭
331,69,两栖组,038,卷胡巨獭
332,82,两栖组,044,丢丢（沙地附近的样子）
333,84,两栖组,044,丢丢（草地附近的样子）
334,85,两栖组,044,丢丢（雪山附近的样子）
335,86,两栖组,045,卡卡虫（沙地附近的样子）
336,88,两栖组,045,卡卡虫（草地附近的样子）
337,89,两栖组,045,卡卡虫（雪山附近的样子）
338,90,两栖组,046,卡瓦重（沙地附近的样子）
339,92,两栖组,046,卡瓦重（草地附近的样子）
340,93,两栖组,046,卡瓦重（雪山附近的样子）
341,157,两栖组,088,乖乖鹄
342,158,两栖组,089,蓝珠天鹅
343,159,两栖组,090,翠顶夫人
344,160,两栖组,091,黑羽夫人
345,161,两栖组,092,锤头鹳
346,245,两栖组,159,水滴蛇
347,247,两栖组,160,水蛇锁
348,249,两栖组,161,游蛇魔使
349,265,两栖组,171,波波螺
350,265,两栖组,171,波波螺（被污染的样子）
351,267,两栖组,172,消波螺
352,267,两栖组,172,消波螺（被污染的样子）
353,269,两栖组,173,嗜波螺
354,269,两栖组,173,嗜波螺（被污染的样子）
355,275,两栖组,179,草头鸭
356,276,两栖组,180,卷毛鸭
357,277,两栖组,181,海豹战士
358,278,两栖组,182,海豹船长
359,304,两栖组,201,花怨鳗
360,305,两栖组,202,鳗尾兽
361,318,两栖组,212,古钟蛇（本来的样子）
362,321,两栖组,213,寒音蛇（本来的样子）
363,418,两栖组,287,吸泥鸥
364,419,两栖组,288,泥吼牙
365,469,两栖组,338,布瓜蝌
366,470,两栖组,339,上岸蛙
367,44,植物组,021,小灵菇
368,45,植物组,022,幻灵菇
369,46,植物组,023,幻影灵菇
370,66,植物组,035,幽影树
371,78,植物组,041,奇丽草
372,79,植物组,042,奇丽叶
373,81,植物组,043,奇丽花
374,111,植物组,059,兽花蕾
375,115,植物组,063,蹦蹦种子（彩玉球形态）
376,116,植物组,063,蹦蹦种子（海神球形态）
377,117,植物组,063,蹦蹦种子（短毛球形态）
378,118,植物组,063,蹦蹦种子（象牙球形态）
379,119,植物组,064,蹦蹦草（彩玉球形态）
380,120,植物组,064,蹦蹦草（海神球形态）
381,121,植物组,064,蹦蹦草（短毛球形态）
382,122,植物组,064,蹦蹦草（象牙球形态）
383,124,植物组,065,蹦蹦花（彩玉球形态）
384,125,植物组,065,蹦蹦花（海神球形态）
385,126,植物组,065,蹦蹦花（短毛球形态）
386,127,植物组,065,蹦蹦花（象牙球形态）
387,131,植物组,069,蒲公英
388,132,植物组,070,蒲公英娃娃
389,133,植物组,071,伊贝儿
390,134,植物组,072,伊贝粉粉
391,145,植物组,079,菊花梨
392,190,植物组,118,旋叶虫（枯叶的样子）
393,191,植物组,118,旋叶虫（金黄的样子）
394,192,植物组,119,蓬叶虫（枯叶的样子）
395,193,植物组,119,蓬叶虫（金黄的样子）
396,194,植物组,120,风滚暮虫（枯叶的样子）
397,195,植物组,120,风滚暮虫（金黄的样子）
398,204,植物组,128,哭哭菇
399,205,植物组,129,怖须菇
400,206,植物组,130,怖哭菇
401,270,植物组,174,菇菇丁
402,271,植物组,175,多菇丁
403,272,植物组,176,九幽菇
404,328,植物组,220,海枝枝（杏黄百合）
405,329,植物组,220,海枝枝（洋红沙丁）
406,330,植物组,220,海枝枝（碧蓝珊瑚）
407,331,植物组,220,海枝枝（翠绿纶布）
408,401,植物组,274,格兰种子
409,402,植物组,275,格兰花
410,403,植物组,276,格兰球
411,456,植物组,325,柴渣虫
412,457,植物组,326,燃薪虫
413,47,大地组,024,石肤蜥（本来的样子）
414,48,大地组,024,石肤蜥（球球尾巴的样子）
415,49,大地组,025,石刺蜥（本来的样子）
416,50,大地组,025,石刺蜥（球球尾巴的样子）
417,51,大地组,026,石冠王蜥（本来的样子）
418,52,大地组,026,石冠王蜥（球球尾巴的样子）
419,53,大地组,027,布是石
420,54,大地组,028,布是岩
421,55,大地组,029,布克棱岩
422,70,大地组,039,矿晶虫
423,71,大地组,040,晶石蜗（星彩榴石的样子）
424,72,大地组,040,晶石蜗（火山琉璃的样子）
425,73,大地组,040,晶石蜗（烧蓝黄金的样子）
426,74,大地组,040,晶石蜗（莲花刚玉的样子）
427,75,大地组,040,晶石蜗（蓝锥矿的样子）
428,76,大地组,040,晶石蜗（西瓜碧玺的样子）
429,100,大地组,052,嘟嘟煲
430,101,大地组,053,嘟嘟锅
431,164,大地组,095,记忆石
432,174,大地组,105,阿米亚特
433,175,大地组,106,阿米樱
434,176,大地组,107,罗隐
435,181,大地组,111,石石
436,182,大地组,112,巨灵石
437,183,大地组,113,仪使者
438,184,大地组,114,仪式之星
439,185,大地组,115,仪式巨像
440,265,大地组,171,波波螺
441,265,大地组,171,波波螺（被污染的样子）
442,267,大地组,172,消波螺
443,267,大地组,172,消波螺（被污染的样子）
444,269,大地组,173,嗜波螺
445,269,大地组,173,嗜波螺（被污染的样子）
446,57,妖精组,030,恶魔叮
447,58,妖精组,031,叮叮恶魔
448,66,妖精组,035,幽影树
449,100,妖精组,052,嘟嘟煲
450,101,妖精组,053,嘟嘟锅
451,107,妖精组,057,梦游（穿旧睡衣的样子）
452,109,妖精组,058,梦悠悠（穿旧睡衣的样子）
453,154,妖精组,085,小夜
454,155,妖精组,086,紫夜
455,156,妖精组,087,朔夜伊芙
456,162,妖精组,093,绿草精灵
457,163,妖精组,094,魔草巫灵
458,171,妖精组,102,绿翼鸟
459,172,妖精组,103,魔翼鸟
460,173,妖精组,104,魔眷鸟
461,183,妖精组,113,仪使者
462,184,妖精组,114,仪式之星
463,185,妖精组,115,仪式巨像
464,196,妖精组,121,小黑猫
465,198,妖精组,122,黑猫巫师
466,216,妖精组,139,雪娃娃
467,217,妖精组,140,冰封怨灵
468,218,妖精组,141,雪灵
469,219,妖精组,142,大耳帽兜
470,220,妖精组,143,帽兜娃娃
471,222,妖精组,144,雪影娃娃
472,245,妖精组,159,水滴蛇
473,247,妖精组,160,水蛇锁
474,249,妖精组,161,游蛇魔使
475,279,妖精组,183,号儿鱼
476,280,妖精组,184,圆号鱼
477,281,妖精组,185,甜田螺
478,282,妖精组,186,壳乙螺
479,283,妖精组,187,卡洛儿
480,284,妖精组,188,棋棋（白子）
481,285,妖精组,188,棋棋（黑子）
482,286,妖精组,189,棋骑士（白子）
483,287,妖精组,189,棋骑士（黑子）
484,288,妖精组,190,棋齐垒（白子）
485,289,妖精组,190,棋齐垒（黑子）
486,290,妖精组,191,棋祈督（白子）
487,291,妖精组,191,棋祈督（黑子）
488,293,妖精组,192,棋绮后（白子）
489,294,妖精组,192,棋绮后（黑子）
490,309,妖精组,205,拉特
491,310,妖精组,206,酷拉
492,314,妖精组,210,小箱怪
493,315,妖精组,211,迷迷箱怪
494,327,妖精组,219,里拉鳐
495,370,妖精组,246,裘洛
496,371,妖精组,247,裘力
497,372,妖精组,248,裘卡
498,379,妖精组,255,治愈兔
499,380,妖精组,256,红丝绒
500,381,妖精组,257,红绒十字
501,401,妖精组,274,格兰种子
502,402,妖精组,275,格兰花
503,403,妖精组,276,格兰球
504,427,妖精组,296,毛头小蛛
505,428,妖精组,297,捕尘长绒
506,429,妖精组,298,食尘短绒
507,430,妖精组,299,画精灵
508,431,妖精组,300,画像守护
509,432,妖精组,301,画间法师手
510,433,妖精组,302,画间沉铁兽
511,434,妖精组,303,书魔虫
512,435,妖精组,304,书卷守护
513,436,妖精组,305,古卷执政官
514,437,妖精组,306,古卷匣魔像
515,461,妖精组,330,粉粉星
516,462,妖精组,331,小皮球
517,466,妖精组,335,粉星仔
518,467,妖精组,336,粉耳星兔
519,468,妖精组,337,落陨星兔
520,473,妖精组,342,春团
521,474,妖精组,343,春兔
522,475,妖精组,344,春花兔
523,476,妖精组,345,幽星光
524,477,妖精组,346,曜星光
525,478,妖精组,347,暮星辰
526,59,昆虫组,032,毛毛
527,60,昆虫组,033,爬爬
528,63,昆虫组,034,化蝶（平常的样子）
529,150,昆虫组,082,一窝蜂
530,151,昆虫组,083,黄蜂后
531,153,昆虫组,084,花魁蜂后
532,168,昆虫组,099,小草虫
533,169,昆虫组,100,草衣虫
534,170,昆虫组,101,花衣蝶
535,190,昆虫组,118,旋叶虫（枯叶的样子）
536,191,昆虫组,118,旋叶虫（金黄的样子）
537,192,昆虫组,119,蓬叶虫（枯叶的样子）
538,193,昆虫组,119,蓬叶虫（金黄的样子）
539,194,昆虫组,120,风滚暮虫（枯叶的样子）
540,195,昆虫组,120,风滚暮虫（金黄的样子）
541,261,昆虫组,168,圆眼蜘蛛
542,262,昆虫组,169,尖角蜘蛛
543,263,昆虫组,170,芋香巨角蛛
544,322,昆虫组,214,矮脚爬爬
545,323,昆虫组,215,恶魔红钻
546,413,昆虫组,283,小甲虫
547,414,昆虫组,284,铠甲虫
548,427,昆虫组,296,毛头小蛛
549,428,昆虫组,297,捕尘长绒
550,429,昆虫组,298,食尘短绒
551,448,昆虫组,317,星尘虫
552,449,昆虫组,318,落星虫
553,450,昆虫组,319,陨星虫
554,454,昆虫组,323,嗜光嗡嗡
555,455,昆虫组,324,窃光蚊
556,456,昆虫组,325,柴渣虫
557,457,昆虫组,326,燃薪虫
558,59,软体组,032,毛毛
559,60,软体组,033,爬爬
560,63,软体组,034,化蝶（平常的样子）
561,70,软体组,039,矿晶虫
562,71,软体组,040,晶石蜗（星彩榴石的样子）
563,72,软体组,040,晶石蜗（火山琉璃的样子）
564,73,软体组,040,晶石蜗（烧蓝黄金的样子）
565,74,软体组,040,晶石蜗（莲花刚玉的样子）
566,75,软体组,040,晶石蜗（蓝锥矿的样子）
567,76,软体组,040,晶石蜗（西瓜碧玺的样子）
568,133,软体组,071,伊贝儿
569,134,软体组,072,伊贝粉粉
570,281,软体组,185,甜田螺
571,282,软体组,186,壳乙螺
572,283,软体组,187,卡洛儿
573,346,软体组,234,脆筒甜甜
574,349,软体组,235,香草甜甜
575,348,软体组,235,香草甜甜（杨桃饰品）
576,349,软体组,235,香草甜甜（蓝莓饰品）
577,358,软体组,236,圣代甜甜
578,351,软体组,236,圣代甜甜（杨桃巧克力口味）
579,352,软体组,236,圣代甜甜（杨桃抹茶口味）
580,353,软体组,236,圣代甜甜（杨桃草莓口味）
581,354,软体组,236,圣代甜甜（樱桃抹茶口味）
582,355,软体组,236,圣代甜甜（樱桃草莓口味）
583,356,软体组,236,圣代甜甜（蓝莓巧克力口味）
584,357,软体组,236,圣代甜甜（蓝莓抹茶口味）
585,358,软体组,236,圣代甜甜（蓝莓草莓口味）
586,368,软体组,244,翡翠水母
587,369,软体组,245,琉璃水母
588,376,软体组,252,布鲁斯
589,377,软体组,253,雪顶布鲁斯
590,378,软体组,254,冰钻布鲁斯
591,410,软体组,280,墨鱿士
592,411,软体组,281,混乱鱿彩
593,412,软体组,282,秩序鱿墨
594,461,软体组,330,粉粉星
595,462,软体组,331,小皮球
596,223,机械组,145,权杖-Ⅱ
597,224,机械组,146,权杖-Ⅴ
598,314,机械组,210,小箱怪
599,315,机械组,211,迷迷箱怪
600,332,机械组,221,多西
601,333,机械组,222,库多西
602,334,机械组,223,波多西
603,341,机械组,229,缇塔
604,342,机械组,230,声波缇塔
605,388,机械组,261,螺旋帕帕
606,389,机械组,262,帕帕斯卡
607,390,机械组,263,机械方方
608,391,机械组,264,多彩方方
609,392,机械组,265,立方人
610,415,机械组,285,圣剑侍从
611,416,机械组,286,圣剑-X
612,463,机械组,332,贝瑟
613,464,机械组,333,贝加尔
614,465,机械组,334,贝古斯
615,138,海洋组,076,海盔虫（本来的样子）
616,139,海洋组,076,海盔虫（磨损的样子）
617,140,海洋组,077,刺盔虫（本来的样子）
618,141,海洋组,077,刺盔虫（磨损的样子）
619,143,海洋组,078,千棘盔（本来的样子）
620,144,海洋组,078,千棘盔（磨损的样子）
621,177,海洋组,108,风铃鲨
622,178,海洋组,109,蓝蝶鲨
623,179,海洋组,110,彩蝶鲨
624,279,海洋组,183,号儿鱼
625,280,海洋组,184,圆号鱼
626,304,海洋组,201,花怨鳗
627,305,海洋组,202,鳗尾兽
628,327,海洋组,219,里拉鳐
629,328,海洋组,220,海枝枝（杏黄百合）
630,329,海洋组,220,海枝枝（洋红沙丁）
631,330,海洋组,220,海枝枝（碧蓝珊瑚）
632,331,海洋组,220,海枝枝（翠绿纶布）
633,359,海洋组,237,刺轮砣（上弦的样子）
634,360,海洋组,237,刺轮砣（下弦的样子）
635,361,海洋组,238,月亮砣（上弦的样子）
636,362,海洋组,238,月亮砣（下弦的样子）
637,363,海洋组,239,豆丁鱼
638,364,海洋组,240,快鳍鱼
639,365,海洋组,241,龙鱼
640,366,海洋组,242,胆小鳗鱼
641,367,海洋组,243,闪电鳗鱼
642,368,海洋组,244,翡翠水母
643,369,海洋组,245,琉璃水母
644,376,海洋组,252,布鲁斯
645,377,海洋组,253,雪顶布鲁斯
646,378,海洋组,254,冰钻布鲁斯
647,400,海洋组,273,深蓝鲸
648,410,海洋组,280,墨鱿士
649,411,海洋组,281,混乱鱿彩
650,412,海洋组,282,秩序鱿墨
651,444,海洋组,313,果冻
652,445,海洋组,314,抹茶布丁
653,446,海洋组,315,椰浆布丁
654,447,海洋组,316,熔岩布丁
655,451,海洋组,320,双灯鱼
656,452,海洋组,321,利灯鱼
657,306,龙组,203,伊雷龙
658,307,龙组,204,伊兰亚龙
659,308,龙组,204,伊兰龙
660,335,龙组,224,小翼龙
661,336,龙组,225,翼龙
662,363,龙组,239,豆丁鱼
663,364,龙组,240,快鳍鱼
664,365,龙组,241,龙鱼
665,420,龙组,289,大头骨龙
666,421,龙组,290,寂灭骨龙
