id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
32,018,100181,雪绒鸟,雪绒鸟（春天的样子）,最终阶段,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,56,77,26,58,49,69,335,,,否,雪绒鸟（春天的样子）,春天的样子,,0.38~0.51,2.77~4.5,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/49/0cf1n3w3u7u2s4tscjcyrybihteudot.png,
33,018,10018,雪绒鸟,雪绒鸟（本来的样子）,Ⅰ阶,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,54,77,33,65,44,69,342,,,否,雪绒鸟（本来的样子）,本来的样子,,0.38~0.51,2.77~4.5,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/1/1c/1fd8czi6rfr8nf738hbqozt6bozum44.png,
34,018,100183,雪绒鸟,雪绒鸟（秋天的样子）,Ⅰ阶,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,54,76,25,59,51,69,334,,,否,雪绒鸟（秋天的样子）,秋天的样子,,0.38~0.51,2.77~4.5,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/83/p8qv6jiitsz1yuiqm99r5t7tsy14248.png,
35,019,100192,冬羽雀,冬羽雀（夏天的样子）,Ⅱ阶,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,79,107,43,77,55,92,453,,,否,雪绒鸟（夏天的样子）,夏天的样子,,0.62~0.71,8.92~12.7,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/31/3baz2hoo3jex6uemnb28s6ixv7jly0t.png,
36,019,100191,冬羽雀,冬羽雀（春天的样子）,最终阶段,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,75,103,35,78,65,92,448,,,否,雪绒鸟（春天的样子）,春天的样子,,0.62~0.71,8.92~12.7,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/c/c6/afxxd61vfdof1j2qhqt6wqhqri3bc65.png,
37,019,10019,冬羽雀,冬羽雀（本来的样子）,Ⅱ阶,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,72,103,44,86,59,92,456,,,否,雪绒鸟（本来的样子）,本来的样子,,0.62~0.71,8.92~12.7,沉船漩涡,0.6,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/35/jmw35rn0cvpfhfqzbrqohexipzm8xg1.png,
38,019,100193,冬羽雀,冬羽雀（秋天的样子）,Ⅱ阶,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,72,102,34,78,68,92,446,,,否,雪绒鸟（秋天的样子）,秋天的样子,,0.62~0.71,8.92~12.7,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d9/m67xz7bn1281f9do31ku5mfoz1azsy3.png,
39,020,100202,岚鸟,岚鸟（夏天的样子）,最终阶段,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,99,133,54,96,69,115,566,,,否,雪绒鸟（夏天的样子）,夏天的样子,,1.43~2.04,27.08~32.7,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/7/7b/aqr0u8eiajno6zwl4j8o3nmi9z6vmyv.png,
40,020,100201,岚鸟,岚鸟（春天的样子）,最终阶段,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,93,128,44,97,81,115,558,,,否,雪绒鸟（春天的样子）,春天的样子,,1.43~2.04,27.08~32.7,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%98%A5%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/8c/ddrlezesktm4eccjnz2289nvce5n7g3.png,
41,020,10020,岚鸟,岚鸟（本来的样子）,最终阶段,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,90,128,55,108,74,115,570,,,否,雪绒鸟（本来的样子）,本来的样子,,1.43~2.04,27.08~32.7,二叠山丘,0.6,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/7/7f/ac3t55pytqhv4x8c9z9w7w6k00glr8p.png,
42,020,100203,岚鸟,岚鸟（秋天的样子）,最终阶段,翼,,顺风,若先于敌方攻击，本次技能威力+50%。,90,127,42,98,85,115,557,,,否,雪绒鸟（秋天的样子）,秋天的样子,,1.43~2.04,27.08~32.7,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E7%A7%8B%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/a/a1/gyd3tqovbtxam8gyra1wony6whttkv9.png,
43,020,100204,霜翼领主,霜翼领主,最终阶段,翼,,破空,若先于敌方攻击，本次技能威力+75%。,90,142,63,108,74,115,592,,,否,雪绒鸟（本来的样子）,,,2~2.68,59~71.09,常见于草地、山林、雪山,0.6,https://wiki.biligame.com/rocom/%E9%9C%9C%E7%BF%BC%E9%A2%86%E4%B8%BB,https://patchwiki.biligame.com/images/rocom/1/15/epj3pmupds3fqc45iw7zisp9s957w62.png,
44,021,10021,小灵菇,小灵菇,Ⅰ阶,幽,,毒蘑菇,回合结束时，偷取敌方场上所有精灵1能量。,67,59,59,62,82,45,374,,,否,小灵菇,,,0.43~0.61,5.4~7.1,常见于草地,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%81%B5%E8%8F%87,https://patchwiki.biligame.com/images/rocom/b/b8/ltybffbpudghq5tx60h70gy1vdj5xpa.png,
45,022,10022,幻灵菇,幻灵菇,Ⅱ阶,幽,草,毒蘑菇,回合结束时，偷取敌方场上所有精灵1能量。,89,79,79,83,109,60,499,,,否,小灵菇,,,0.64~0.92,13.2~16.5,常见于草地,0.6,https://wiki.biligame.com/rocom/%E5%B9%BB%E7%81%B5%E8%8F%87,https://patchwiki.biligame.com/images/rocom/8/8b/3xoutgdtyr7y19dtslj9ijfxv20wb69.png,
46,023,10023,幻影灵菇,幻影灵菇,最终阶段,幽,草,毒蘑菇,回合结束时，偷取敌方场上所有精灵1能量。,111,98,98,103,136,75,621,,,否,小灵菇,,,0.92~1.32,39.4~48.4,常见于草地,0.6,https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E7%81%B5%E8%8F%87,https://patchwiki.biligame.com/images/rocom/0/0f/915lidbxavc7iprutynlt2z380lxb7x.png,
47,024,10024,石肤蜥,石肤蜥（本来的样子）,Ⅰ阶,地,,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,69,54,53,65,45,57,343,,,否,石肤蜥（本来的样子）,本来的样子,,0.49~0.7,21~34,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/8e/gfeccz7923wkt2g0k4zn9isjx7g52r3.png,
48,024,100241,石肤蜥,石肤蜥（球球尾巴的样子）,最终阶段,地,,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,68,54,53,64,44,60,343,,,否,石肤蜥（球球尾巴的样子）,球球尾巴的样子,,0.49~0.7,19.5~32.5,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/0d/26e4sxceqbbtj6jaa03zttips3weal4.png,
49,025,10025,石刺蜥,石刺蜥（本来的样子）,Ⅱ阶,地,,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,92,72,71,87,60,76,458,,,否,石肤蜥（本来的样子）,本来的样子,,0.67~0.96,59.5~70.5,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d1/dt0gk8z1gtu051gl10yoxdelrkk5aib.png,
50,025,100251,石刺蜥,石刺蜥（球球尾巴的样子）,最终阶段,地,,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,91,72,71,85,59,80,458,,,否,石肤蜥（球球尾巴的样子）,球球尾巴的样子,,0.67~0.96,56.5~68.5,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/87/cnrop13tuprzaltkldd3817f9gfjw28.png,
51,026,10026,石冠王蜥,石冠王蜥（本来的样子）,最终阶段,地,,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,115,89,89,109,75,95,572,,,否,石肤蜥（本来的样子）,本来的样子,,0.94~1.18,78.5~98.5,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%86%A0%E7%8E%8B%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/00/dlzc7ctb4qlsc5pbonhpcu7kky4x3uz.png,
52,026,100261,石冠王蜥,石冠王蜥（球球尾巴的样子）,最终阶段,地,,刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,113,90,89,106,74,100,572,,,否,石肤蜥（球球尾巴的样子）,球球尾巴的样子,,0.94~1.18,76.5~95.5,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%86%A0%E7%8E%8B%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/9/9b/exwxjbz0qds6dvsq8d7jj46q9sdmyux.png,
53,027,10027,布是石,布是石,Ⅰ阶,地,,地脉,初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,72,81,29,95,90,42,409,,,否,布是石,,,0.42~0.6,18.5~32.5,常见于洞穴、山地,0.6,https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E7%9F%B3,https://patchwiki.biligame.com/images/rocom/8/89/n2olozya089rge7wuokp3nazl44xqst.png,
