id,技能名称,页面标题,描述,效果,耗能,属性,威力,技能类别,技能版本,页面链接
34,光合作用,光合作用,,自己获得1层光合印记。,4,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%85%89%E5%90%88%E4%BD%9C%E7%94%A8
35,光球,光球,一颗未孵化的星辰。,对敌方精灵造成魔法伤害。,2,光,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%85%89%E7%90%83
36,光能聚集,光能聚集,,造成魔伤，每次使用其他草系技能后，本技能威力永久+60。,7,草,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%85%89%E8%83%BD%E8%81%9A%E9%9B%86
37,入梦,入梦,如果在学院里看到野生的枕头不要躺上去，它会闯入你的梦里借走一夜安眠。,敌方下回合回复的能量-5，冷却2回合。,1,幽,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%85%A5%E6%A2%A6
38,冥想,冥想,,减伤80%，应对攻击：敌方获得2层星陨印记。,3,幻,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%86%A5%E6%83%B3
39,冬至,冬至,,将天气改为暴风雪，持续8回合。,7,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%86%AC%E8%87%B3
40,冰冻光线,冰冻光线,一缕苍白的光，它到过的地方，一切都变得又沉又重。,造成魔伤，敌方获得全技能能耗+2。,7,冰,90,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E5%86%BB%E5%85%89%E7%BA%BF
41,冰刺,冰刺,,造成物伤，应对状态：敌方2回合无法换宠。,3,冰,85,物攻,,https://wiki.biligame.com/rocom/%E5%86%B0%E5%88%BA
42,冰墙,冰墙,,减伤80%，应对攻击：敌方获得2层冻结。,2,冰,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E5%A2%99
43,冰天雪地,冰天雪地,,减伤80%，应对攻击：被应对技能能耗+3。,2,冰,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E5%A4%A9%E9%9B%AA%E5%9C%B0
44,冰捆缚,冰捆缚,,2连击，每次连击敌方获得全技能能耗+1。,3,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E6%8D%86%E7%BC%9A
45,冰晶坠,冰晶坠,,造成物伤，敌方获得全技能能耗+1。,4,冰,90,物攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E6%99%B6%E5%9D%A0
46,冰点,冰点,,敌方获得5层冻结，应对防御：额外获得5层。,2,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E7%82%B9
47,冰爪,冰爪,,对敌方精灵造成物理伤害。,2,冰,80,物攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E7%88%AA
48,冰荆棘,冰荆棘,,减伤70%，应对攻击：敌方冻结层数翻倍。,2,冰,,防御,,https://wiki.biligame.com/rocom/%E5%86%B0%E8%8D%86%E6%A3%98
49,冰蛋壳,冰蛋壳,S2赛季调整：&nbsp;减伤60%一70%，应对攻击:敌方获得2层减速印记,减伤70%，应对攻击：敌方获得2层减速印记。,3,冰,0,防御,0.2,https://wiki.biligame.com/rocom/%E5%86%B0%E8%9B%8B%E5%A3%B3
50,冰锋横扫,冰锋横扫,,造成魔伤，本技能威力等于敌方精灵技能总能耗的10倍。,4,冰,0,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E9%94%8B%E6%A8%AA%E6%89%AB
51,冰锥,冰锥,,对敌方精灵造成物理伤害。,0,冰,40,物攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E9%94%A5
52,冰雹,冰雹,,造成物伤，应对状态：额外使敌方获得全技能能耗+3。,4,冰,105,物攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B0%E9%9B%B9
53,冲击,冲击,,对敌方精灵造成物理伤害。,2,恶,80,物攻,,https://wiki.biligame.com/rocom/%E5%86%B2%E5%87%BB
54,冲撞,冲撞,,造成物伤，回合结束时，本技能能耗永久-1。,7,普通,135,物攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B2%E6%92%9E
55,冷风,冷风,,对敌方精灵造成魔法伤害。,1,冰,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%86%B7%E9%A3%8E
56,减压阀,减压阀,,主动：本技能被动永久额外+20威力，被动：两侧技能威力+10，传动1。,1,机械,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%87%8F%E5%8E%8B%E9%98%80
57,击鼓传花,击鼓传花,,自己脱离，下个入场精灵继承自己增益。,3,萌,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%87%BB%E9%BC%93%E4%BC%A0%E8%8A%B1
58,刺盾,刺盾,“可我们不是那种棋子。”——棋棋,减伤70%，应对攻击：敌方获得物攻-70%。,2,地,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%88%BA%E7%9B%BE
59,刺藤,刺藤,,造成物伤，2连击。,3,草,45,物攻,0.1,https://wiki.biligame.com/rocom/%E5%88%BA%E8%97%A4
60,剧毒,剧毒,中毒之后，你能做的还有祈祷。,敌方获得3层中毒，应对防御：改为获得8层。,2,毒,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%89%A7%E6%AF%92
61,力量吞噬,力量吞噬,,敌方获得全技能威力-20，自己获得全技能威力+20。,4,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8A%9B%E9%87%8F%E5%90%9E%E5%99%AC
62,力量增效,力量增效,,自己获得物攻+100%。,1,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8A%9B%E9%87%8F%E5%A2%9E%E6%95%88
63,加固,加固,,自己获得物防+140%。,2,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8A%A0%E5%9B%BA
64,加大功率,加大功率,,自己脱离，替换入场的精灵回复8能量。,4,电,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8A%A0%E5%A4%A7%E5%8A%9F%E7%8E%87
65,加油,加油,它觉得自己帮不上什么忙，但每一句加油都是真心的。,自己获得1层萌芽印记。,2,萌,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8A%A0%E6%B2%B9
66,勾魂,勾魂,,偷取敌方3能量。,1,幽,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8B%BE%E9%AD%82
67,化劲,化劲,对战课临时教室：接，化，发！这都是巧劲！,自己获得全技能威力+40。,2,武,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8C%96%E5%8A%B2
68,升龙咆哮,升龙咆哮,,蓄力，对敌方造成魔法伤害。,3,龙,200,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%8D%87%E9%BE%99%E5%92%86%E5%93%AE
69,午夜噪音,午夜噪音,,造成魔伤，5连击。,4,幽,20,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%8D%88%E5%A4%9C%E5%99%AA%E9%9F%B3
70,压扁,压扁,如果期末魔法等级考试压垮我，那我就扁扁的躺在宿舍里。,对敌方精灵造成物理伤害。,5,普通,155,物攻,0.1,https://wiki.biligame.com/rocom/%E5%8E%8B%E6%89%81
71,双响炮,双响炮,,造成物伤，2连击。,1,火,25,物攻,0.1,https://wiki.biligame.com/rocom/%E5%8F%8C%E5%93%8D%E7%82%AE
72,双星,双星,,对敌方精灵造成物理伤害。,3,幻,100,物攻,0.1,https://wiki.biligame.com/rocom/%E5%8F%8C%E6%98%9F
73,双联脉冲,双联脉冲,,造成魔伤，迸发：本技能使用次数+1。,4,电,50,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%8F%8C%E8%81%94%E8%84%89%E5%86%B2
74,反击拳,反击拳,“对决的时候，我从不说话，精灵的技能就是我的回答”。,造成物伤，2连击，若后手攻击，改为3连击。,2,武,25,物攻,0.1,https://wiki.biligame.com/rocom/%E5%8F%8D%E5%87%BB%E6%8B%B3
75,反弹,反弹,,将自己的萌化转移给敌方。,4,萌,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8F%8D%E5%BC%B9
76,取念,取念,“你的技能真好用”。,每回合随机变成敌方任意精灵的技能，且该技能能耗-2。,0,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8F%96%E5%BF%B5
77,叠加态,叠加态,宇宙是无尽梦，尚未醒来的时候，什么都可能发生。,自己获得随机16层属性增益，巧变：幻系攻击技能。,1,幻,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%8F%A0%E5%8A%A0%E6%80%81
78,叠势,叠势,,造成魔伤，2连击，每成功应对1次，本技能连击数永久+2。,3,武,25,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%8F%A0%E5%8A%BF
79,叶绿光束,叶绿光束,,对敌方精灵造成魔法伤害。,4,草,120,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%8F%B6%E7%BB%BF%E5%85%89%E6%9D%9F
80,同频,同频,和鸭吉吉聊着聊着，说话方式就变成这样了嘎。,造成魔法伤害，巧变：魔攻技能。,3,普通,125,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%90%8C%E9%A2%91
81,后发制人,后发制人,,造成物理伤害，先手-1。,3,普通,155,物攻,0.1,https://wiki.biligame.com/rocom/%E5%90%8E%E5%8F%91%E5%88%B6%E4%BA%BA
82,吓退,吓退,,减伤60%，应对攻击：敌方脱离。,2,普通,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%90%93%E9%80%80
83,吞噬,吞噬,,造成物伤，若使用本技能击败敌方，回复6能量。,6,普通,150,物攻,0.1,https://wiki.biligame.com/rocom/%E5%90%9E%E5%99%AC
84,吨位压制,吨位压制,,造成物伤，敌方体重越低，威力越高。,3,普通,0,物攻,0.1,https://wiki.biligame.com/rocom/%E5%90%A8%E4%BD%8D%E5%8E%8B%E5%88%B6
85,听桥,听桥,,减伤60%，应对攻击：对敌方造成物理伤害，威力与被应对技能相等。,4,武,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%90%AC%E6%A1%A5
86,吹火,吹火,“不要给精灵喝太多上头水饮料！即使对战的时候有用也不行！”,造成物伤，每次使用后，本技能威力永久+20。,1,火,50,物攻,0.1,https://wiki.biligame.com/rocom/%E5%90%B9%E7%81%AB
87,吹炎,吹炎,,蓄力，造成物伤，应对状态：本次技能威力翻倍。,3,龙,170,物攻,0.1,https://wiki.biligame.com/rocom/%E5%90%B9%E7%82%8E
88,咆哮,咆哮,S2赛季调整：&nbsp;敌方获得物攻-130--60%，速度-60,敌方获得物攻-60%，速度-60。,1,普通,0,状态,0.2,https://wiki.biligame.com/rocom/%E5%92%86%E5%93%AE
89,啃咬,啃咬,轻轻咬一小口，不会痛。,造成物伤，1连击，本技能会受奉献影响，每被影响1次，能耗永久+1。,0,虫,40,物攻,0.1,https://wiki.biligame.com/rocom/%E5%95%83%E5%92%AC
90,啄击,啄击,,造成物伤，2连击。,0,翼,15,物攻,0.1,https://wiki.biligame.com/rocom/%E5%95%84%E5%87%BB
91,啮合传递,啮合传递,S2赛季调整：&nbsp;由速度+80改为速度+30，处于1号或3号位时物攻+60％改为+80％,自己获得速度+30，本技能位于1号或3号位时额外获得物攻+80%，传动1。,1,机械,0,状态,0.2,https://wiki.biligame.com/rocom/%E5%95%AE%E5%90%88%E4%BC%A0%E9%80%92
92,嗜痛,嗜痛,这愉悦的痛苦。,减伤80%，应对攻击：期间自己每次受到伤害，获得双攻+40%。,2,普通,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%97%9C%E7%97%9B
93,嘲弄,嘲弄,,自己获得魔攻+90%，若敌方本回合更换精灵，自己获得速度+70。,2,幽,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%98%B2%E5%BC%84
94,噬心,噬心,,对敌方精灵造成物理伤害。,1,虫,60,物攻,0.1,https://wiki.biligame.com/rocom/%E5%99%AC%E5%BF%83
95,四维降解,四维降解,,造成魔伤，敌方每有1层印记，本技能能耗-1。,7,幻,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%9B%9B%E7%BB%B4%E9%99%8D%E8%A7%A3
96,回旋踢,回旋踢,,造成物伤，若敌方本回合更换精灵，本次技能威力翻倍。,3,武,80,物攻,0.1,https://wiki.biligame.com/rocom/%E5%9B%9E%E6%97%8B%E8%B8%A2
97,回旋风暴,回旋风暴,,对敌方精灵造成魔法伤害。,3,翼,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%9B%9E%E6%97%8B%E9%A3%8E%E6%9A%B4
98,地刺,地刺,"“小心落石”的标语总是值得注意，但是地系部族的洛克不会提示你。


S2赛季调整：&nbsp;威力95一90，造成物伤，应对状态:额外打断被应对技能",造成物伤，应对状态：额外打断被应对技能。,3,地,90,物攻,0.2,https://wiki.biligame.com/rocom/%E5%9C%B0%E5%88%BA
99,地陷,地陷,,造成物伤，自己获得物防+70%，应对状态：本次技能威力翻倍，且物防额外+70%。,5,地,80,物攻,0.1,https://wiki.biligame.com/rocom/%E5%9C%B0%E9%99%B7
100,地震,地震,大地伸着懒腰，翻了个身。,对敌方精灵造成物理伤害。,10,地,190,物攻,0.1,https://wiki.biligame.com/rocom/%E5%9C%B0%E9%9C%87
101,坍缩,坍缩,,造成魔伤，若击败敌方，自己获得魔攻+70%。,3,幻,85,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%9D%8D%E7%BC%A9
102,坟场搏击,坟场搏击,,造成物伤，敌方每有1能量，本次技能威力-10%。,4,幽,180,物攻,0.1,https://wiki.biligame.com/rocom/%E5%9D%9F%E5%9C%BA%E6%90%8F%E5%87%BB
103,垂死反击,垂死反击,,造成物伤，自己每失去5%生命，本次技能威力+5。,4,普通,80,物攻,0.1,https://wiki.biligame.com/rocom/%E5%9E%82%E6%AD%BB%E5%8F%8D%E5%87%BB
104,埋伏,埋伏,,造成魔伤，3连击，若敌方本回合更换精灵，本次技能连击数+3。,4,普通,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%9F%8B%E4%BC%8F
105,堆雪人,堆雪人,,造成魔伤，降低敌方20%魔防。,2,冰,60,魔攻,,https://wiki.biligame.com/rocom/%E5%A0%86%E9%9B%AA%E4%BA%BA
106,增程电池,增程电池,,自己获得1层蓄电印记。,2,电,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%A2%9E%E7%A8%8B%E7%94%B5%E6%B1%A0
107,壁垒,壁垒,,减伤90%，应对攻击：防御技能冷却-1。,2,地,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%A3%81%E5%9E%92
108,复写,复写,,每回合随机变成自己未携带的技能，且该技能能耗-2。,0,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%A4%8D%E5%86%99
109,多维击打,多维击打,,造成魔伤，1连击，敌方每有1层星陨印记，本次技能连击数+1。,4,幻,15,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%A4%9A%E7%BB%B4%E5%87%BB%E6%89%93
110,大爆炸,大爆炸,,对敌方精灵造成魔法伤害。,3,幻,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%A4%A7%E7%88%86%E7%82%B8
111,天光,天光,晶石蜗的狂热研究员说，可以在这个世界上找到6种天然矿石，矿石中蕴含的魔力与相似颜色的晶石蜗十分相似。,造成魔伤，本技能系别和天气系别相同。,3,光,95,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%A4%A9%E5%85%89
112,天旋地转,天旋地转,,造成物理伤害，先手+1，迸发：本次技能威力+30。,3,普通,60,物攻,0.1,https://wiki.biligame.com/rocom/%E5%A4%A9%E6%97%8B%E5%9C%B0%E8%BD%AC
113,天洪,天洪,月兔暗港最好的水手，可以让船在洪水风暴里张满帆。,造成魔伤，应对状态：本技能能耗永久-6。,7,水,150,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%A4%A9%E6%B4%AA
114,天火,天火,,敌方获得10层灼烧，应对防御：改为获得30层。,3,火,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%A4%A9%E7%81%AB
115,孢子,孢子,,敌方获得1层寄生。,3,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%AD%A2%E5%AD%90
116,孢子爆散,孢子爆散,“完了，这次植物课作业又爆炸了。”,造成物伤，1连击，每次使用后，本技能连击数永久+2。,3,草,30,物攻,0.1,https://wiki.biligame.com/rocom/%E5%AD%A2%E5%AD%90%E7%88%86%E6%95%A3
117,守护咒,守护咒,老龙给幼崽念的睡前故事，谁都无法打扰它们的好梦。,减伤90%，应对攻击。巧变：龙系状态技能。,1,龙,0,防御,0.1,https://wiki.biligame.com/rocom/%E5%AE%88%E6%8A%A4%E5%92%92
118,富养化,富养化,,为场下每个精灵回复3能量。,3,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%AF%8C%E5%85%BB%E5%8C%96
119,寒风吹,寒风吹,,造成魔伤，敌方获得魔防-50%。,3,冰,70,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%AF%92%E9%A3%8E%E5%90%B9
120,寸拳,寸拳,,造成物伤，自己回复1能量。,0,武,30,物攻,0.1,https://wiki.biligame.com/rocom/%E5%AF%B8%E6%8B%B3
121,导电撞击,导电撞击,,对敌方精灵造成物理伤害。,0,电,40,物攻,0.1,https://wiki.biligame.com/rocom/%E5%AF%BC%E7%94%B5%E6%92%9E%E5%87%BB
122,小偷小摸,小偷小摸,,偷取敌方3能量。,1,幽,,状态,,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%81%B7%E5%B0%8F%E6%91%B8
123,尾后针,尾后针,,对敌方精灵造成物理伤害。,2,虫,80,物攻,0.1,https://wiki.biligame.com/rocom/%E5%B0%BE%E5%90%8E%E9%92%88
124,山火,山火,火红的烈焰从地底最深处向外进发，构成了火系部族的盛大舞台。,造成物伤，每使用1次其他火系技能，本技能威力永久翻倍。,3,火,15,物攻,0.1,https://wiki.biligame.com/rocom/%E5%B1%B1%E7%81%AB
125,岩土暴击,岩土暴击,,造成物伤，每被攻击1次。本技能能耗永久-1。,8,地,140,物攻,0.1,https://wiki.biligame.com/rocom/%E5%B2%A9%E5%9C%9F%E6%9A%B4%E5%87%BB
126,岩脉崩毁,岩脉崩毁,,造成物伤，本技能能耗固定为4。,4,地,120,物攻,0.1,https://wiki.biligame.com/rocom/%E5%B2%A9%E8%84%89%E5%B4%A9%E6%AF%81
127,崩拳,崩拳,崩的是对方的架势，合的是破招的美学。,造成物伤，应对状态：自己获得物攻+100%。,2,武,65,物攻,0.1,https://wiki.biligame.com/rocom/%E5%B4%A9%E6%8B%B3
128,幻象,幻象,,对敌方精灵造成物理伤害。,1,幽,60,物攻,0.1,https://wiki.biligame.com/rocom/%E5%B9%BB%E8%B1%A1
129,幼态延续,幼态延续,,造成魔伤，自身拥有萌化时威力+60。,4,萌,90,魔攻,,https://wiki.biligame.com/rocom/%E5%B9%BC%E6%80%81%E5%BB%B6%E7%BB%AD
130,幽灵爆发,幽灵爆发,,对敌方精灵造成魔法伤害。,5,幽,140,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%B9%BD%E7%81%B5%E7%88%86%E5%8F%91
131,应激反应,应激反应,,自己回复25%生命，应对防御：改为回复50%生命。,2,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%BA%94%E6%BF%80%E5%8F%8D%E5%BA%94
132,引燃,引燃,,敌方获得10层灼烧。,2,火,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%BC%95%E7%87%83
133,引雷,引雷,,造成魔伤，2连击，迸发：本次技能威力+20。,3,电,35,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%BC%95%E9%9B%B7
134,强制重启,强制重启,,造成魔伤，应对状态：回合结束时使敌方精灵返场。,3,电,90,魔攻,,https://wiki.biligame.com/rocom/%E5%BC%BA%E5%88%B6%E9%87%8D%E5%90%AF
135,当头棒喝,当头棒喝,,造成物伤，若敌方本回合更换精灵，本次技能威力+100。,3,普通,80,物攻,0.1,https://wiki.biligame.com/rocom/%E5%BD%93%E5%A4%B4%E6%A3%92%E5%96%9D
136,彗星,彗星,生命应邀成为愿望的燃料。,造成魔伤，每失去5%生命，本次技能威力-10，使用后消耗全部生命。,0,普通,240,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%BD%97%E6%98%9F
137,影袭,影袭,,对敌方精灵造成物理伤害。,3,武,100,物攻,0.1,https://wiki.biligame.com/rocom/%E5%BD%B1%E8%A2%AD
138,彼岸之手,彼岸之手,,造成物伤，自己每失去10%生命，本技能能耗-1。,10,恶,150,物攻,0.1,https://wiki.biligame.com/rocom/%E5%BD%BC%E5%B2%B8%E4%B9%8B%E6%89%8B
139,徒长,徒长,只要能活下来，不论用什么手段.....,自己回复10能量。,2,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%BE%92%E9%95%BF
140,微型斥候,微型斥候,正在评估——【威胁等级】，嘀嗒，威胁等级评估为——【极高】，判断小洛克需要被保护，正在提高本技能威力。,造成魔伤，自己每受到一次抵抗伤害，本技能威力永久+20。,3,机械,75,魔攻,0.1,https://wiki.biligame.com/rocom/%E5%BE%AE%E5%9E%8B%E6%96%A5%E5%80%99
141,心灵洞悉,心灵洞悉,,敌方获得星陨印记，获得层数等于敌方印记层数。,7,幻,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%BF%83%E7%81%B5%E6%B4%9E%E6%82%89
142,快速移动,快速移动,,自己获得速度+80，应对防御：改为速度+160。,1,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E5%BF%AB%E9%80%9F%E7%A7%BB%E5%8A%A8
